Ngày diễn,Giờ,Tên sự kiện,Khách hàng,Địa điểm,Tỉnh/Thành,Loại,Trạng thái,Link Drive,Link Beat,Link Lyrics,Ghi chú,Mã sự kiện,Nguồn
2026-12-19,08:00,MSD HN,,,,Event,Đã chốt,,,,,qt_20261219_msd-hn,sheet
2026-12-11,08:00,MSD SG,,,,Event,Đã chốt,,,,,qt_20261211_msd-sg,sheet
2026-09-19,09:00,Ko nhận bán vé HN,,,,Cá nhân,Đã chốt,,,,,qt_20260919_ko-nhan-ban-ve-hn,sheet
2026-09-12,19:00,Fantasy,,Hà nội,Hà Nội,Ticket,Đã chốt,,,,[Tên gốc: Cọc L1 Fantasy 500] ,qt_20260912_fantasy,sheet
2026-09-05,09:00,Ko nhận bán vé HN,,,,Cá nhân,Đã chốt,,,,,qt_20260905_ko-nhan-ban-ve-hn,sheet
2026-08-29,18:00,Bảo tàng HN,,,,Khác,Đã chốt,,,,[Tên gốc: Cọc L1 Bảo tàng HN 500] ,qt_20260829_bao-tang-hn,sheet
2026-08-23,,Portland,,,Nước ngoài,Ticket,Đã chốt,,,,,qt_20260823_portland,sheet
2026-08-22,,Connecticut,,,Nước ngoài,Ticket,Đã chốt,,,,,qt_20260822_connecticut,sheet
2026-08-16,,Virginia,,,Nước ngoài,Ticket,Đã chốt,,,,,qt_20260816_virginia,sheet
2026-08-15,,Nhà Thờ Cha Tướng SJ,,,Nước ngoài,Ticket,Đã chốt,,,,,qt_20260815_nha-tho-cha-tuong-sj,sheet
2026-08-14,,OC,,,Nước ngoài,Ticket,Đã chốt,,,,,qt_20260814_oc,sheet
2026-08-12,,SJ,,,Nước ngoài,Ticket,Đã chốt,,,,,qt_20260812_sj,sheet
2026-08-09,,Houston,,,Nước ngoài,Ticket,Đã chốt,,,,,qt_20260809_houston,sheet
2026-08-08,,OC,,,Nước ngoài,Ticket,Đã chốt,,,,,qt_20260808_oc,sheet
2026-08-07,,OC,,,Nước ngoài,Ticket,Đã chốt,,,,,qt_20260807_oc,sheet
2026-08-02,18:00,Nhà hát Hồ Gươm,,,,Ticket,Đã chốt,,,,[Tên gốc: Cọc L1 NH Hồ Gươm 400] H,qt_20260802_nha-hat-ho-guom,sheet
2026-07-26,00:00,Hải Phòng (VA),,Nhà Hát Hoa Phượng Hải Phòng,Hải Phòng,Ticket,Đã chốt,,,,[Tên gốc: Cọc L1 Hải Phòng (VA)] ,qt_20260726_hai-phong-va,sheet
2026-07-04,00:00,Mây Đà Lạt,,,,Ticket,Đã chốt,,,,,qt_20260704_may-a-lat,sheet
2026-06-28,00:00,GĐ haha,,,,Gameshow,Đã chốt,,,,,qt_20260628_g-haha,sheet
2026-06-27,11:00,L'amour Nights,,"Cung Xuân số 1 Võ Thị Sáu, Bạch Mai, Tp Hà Nội",Hà Nội,Khác,Đã chốt,,,,"[Tên gốc: Cọc L1 L'amour Nights 450] H, ký 470 back 20",qt_20260627_l-amour-nights,sheet
2026-06-24,00:00,GĐ haha,,,,Gameshow,Đã chốt,,,,,qt_20260624_g-haha,sheet
2026-06-20,21:00,Phòng trà Không Tên,,,,Ticket,Đã chốt,,,,[Tên gốc: PT Không tên] ,qt_20260620_phong-tra-khong-ten,sheet
2026-06-20,19:00,PETROSETCO,,"GEM Center, P. Đa Kao, Quận 1, Thành Phố Hồ Chí Minh, Việt Nam",TP.HCM,Event,Đã chốt,,,,[Tên gốc: Cọc L1 PETROSETCO 320] Thuỷ Tiên,qt_20260620_petrosetco,sheet
2026-06-18,20:00,Mây SG,,,,Ticket,Đã chốt,,,,,qt_20260618_may-sg,sheet
2026-06-14,16:00,TCS (Huế),,,,Event,Đã chốt,,,,[Tên gốc: Cọc L1 TCS (Huế)] ,qt_20260614_tcs-hue,sheet
2026-06-13,00:00,Gala “Tổ quốc bình yên” - Phố Nguyễn Huệ,,"Phố Đi Bộ Nguyễn Huệ, Nguyễn Huệ, P. Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh, Việt Nam",TP.HCM,Event,Đã chốt,,,,,qt_20260613_gala-to-quoc-binh-yen-pho-ng,sheet
2026-06-10,18:00,Thu âm Uống nước nhớ nguồn,,"SQ Thảo Điền, 3 Hẻm 14 Đường Số 65, P. An Khánh, Thành Phố Hồ Chí Minh, Việt Nam",TP.HCM,Thu âm,Đã chốt,,,,[Tên gốc: 18h Thu âm Uống nước nhớ nguồn] ,qt_20260610_thu-am-uong-nuoc-nho-nguon,sheet
2026-06-09,20:00,Event Tân Hoàng Minh,,"Fairmont Hanoi, 29 Lý Thái Tổ, Hoàn Kiếm, Hà Nội",Hà Nội,Event,Đã chốt,,,,,qt_20260609_event-tan-hoang-minh,sheet
